order_id,date,product,region,quantity,unit_price,discount,customer_id
ORD-0001,2025-01-24,Laptop,East,4,999,0,CUST-0135
ORD-0002,2025-11-24,Laptop,North,10,999,0.05,CUST-0108
ORD-0003,2025-02-07,Laptop,South,9,999,0.1,CUST-0106
ORD-0004,2025-04-23,Monitor,West,4,349,0.05,CUST-0250
ORD-0005,2025-01-25,Tablet,South,7,449,0,CUST-0171
ORD-0006,2025-04-25,Phone,East,2,699,0,CUST-0197
ORD-0007,2025-06-28,Laptop,East,10,999,0,CUST-0111
ORD-0008,2025-09-04,Headphones,West,2,149,0.1,CUST-0175
ORD-0009,2025-06-19,Monitor,South,2,349,0,CUST-0269
ORD-0010,2025-05-03,Phone,South,2,699,0.05,CUST-0171
ORD-0011,2025-11-27,Headphones,East,3,149,0,CUST-0190
ORD-0012,2025-11-09,Phone,North,10,699,0.15,CUST-0143
ORD-0013,2025-12-08,Monitor,South,8,349,0.05,CUST-0169
ORD-0014,2025-04-22,Monitor,East,1,349,0,CUST-0108
ORD-0015,2025-07-09,Tablet,North,4,449,0.1,CUST-0283
ORD-0016,2025-04-21,Tablet,West,7,449,0.15,CUST-0217
ORD-0017,2025-05-05,Phone,South,9,699,0.1,CUST-0167
ORD-0018,2025-07-19,Monitor,West,6,349,0,CUST-0135
ORD-0019,2025-08-03,Monitor,North,2,349,0,CUST-0260
ORD-0020,2025-11-14,Phone,North,7,699,0.05,CUST-0252
ORD-0021,2025-09-09,Headphones,North,2,149,0.15,CUST-0237
ORD-0022,2025-11-11,Tablet,North,5,449,0.05,CUST-0140
ORD-0023,2025-01-24,Headphones,East,9,149,0.2,CUST-0145
ORD-0024,2025-02-28,Monitor,East,9,349,0.1,CUST-0150
ORD-0025,2025-06-25,Phone,South,9,699,0.2,CUST-0235
ORD-0026,2025-10-11,Laptop,West,1,999,0,CUST-0192
ORD-0027,2025-04-02,Tablet,South,10,449,0,CUST-0121
ORD-0028,2025-02-25,Headphones,South,3,149,0.15,CUST-0221
ORD-0029,2025-03-09,Monitor,West,4,349,0.1,CUST-0293
ORD-0030,2025-12-10,Phone,West,6,699,0.05,CUST-0232
ORD-0031,2025-02-08,Headphones,South,2,149,0,CUST-0105
ORD-0032,2025-09-08,Monitor,South,1,349,0,CUST-0281
ORD-0033,2025-04-03,Laptop,North,6,999,0,CUST-0231
ORD-0034,2025-05-22,Phone,West,4,699,0.1,CUST-0133
ORD-0035,2025-10-16,Monitor,South,8,349,0.2,CUST-0204
ORD-0036,2025-02-04,Phone,West,6,699,0.05,CUST-0205
ORD-0037,2025-12-02,Headphones,North,1,149,0.05,CUST-0286
ORD-0038,2025-02-08,Tablet,South,4,449,0.1,CUST-0214
ORD-0039,2025-07-06,Phone,East,8,699,0,CUST-0119
ORD-0040,2025-09-04,Headphones,North,9,149,0.2,CUST-0103
