date,visitors,page_views,bounce_rate,avg_session_min
2024-01-01,976,4107,0.362,2.7
2024-01-02,1051,2903,0.48,3.0
2024-01-03,1212,3601,0.423,4.0
2024-01-04,1125,3140,0.634,2.5
2024-01-05,982,3436,0.648,7.0
2024-01-06,845,2986,0.538,6.6
2024-01-07,896,3257,0.409,6.0
2024-01-08,1151,3015,0.576,4.6
2024-01-09,1118,3543,0.394,5.1
2024-01-10,1151,5022,0.353,1.6
2024-01-11,1257,5563,0.33,5.2
2024-01-12,1129,4288,0.32,6.6
2024-01-13,871,3026,0.545,7.3
2024-01-14,1076,3510,0.365,5.6
2024-01-15,1136,4675,0.385,5.6
2024-01-16,1269,4623,0.59,2.0
2024-01-17,1298,4067,0.367,3.2
2024-01-18,1243,4710,0.358,4.4
2024-01-19,1120,4114,0.636,4.2
2024-01-20,939,2692,0.259,6.2
2024-01-21,934,3643,0.282,2.6
2024-01-22,996,2695,0.276,7.2
2024-01-23,1265,4166,0.556,2.0
2024-01-24,1313,3971,0.312,5.8
2024-01-25,1297,3884,0.364,5.6
2024-01-26,1077,2975,0.585,1.7
2024-01-27,966,3043,0.44,7.8
2024-01-28,948,3394,0.359,4.4
2024-01-28,1330,3795,0.489,5.6
2024-01-28,1309,4937,0.476,4.9
2024-02-01,1325,4232,0.466,6.7
2024-02-02,1242,4202,0.396,3.2
2024-02-03,1171,4837,0.589,3.7
2024-02-04,1098,3775,0.253,7.5
2024-02-05,1219,3069,0.422,3.4
2024-02-06,1227,3634,0.253,3.9
2024-02-07,1294,4256,0.315,6.3
2024-02-08,1471,4824,0.401,3.2
2024-02-09,1290,5197,0.614,6.7
2024-02-10,1246,4821,0.364,6.3
2024-02-11,1174,4938,0.323,3.4
2024-02-12,1102,4158,0.497,3.3
2024-02-13,1266,3214,0.27,5.0
2024-02-14,1391,3994,0.291,3.2
2024-02-15,1434,4252,0.31,4.7
2024-02-16,1261,4014,0.375,6.7
2024-02-17,1352,5520,0.382,7.0
2024-02-18,1187,5226,0.272,6.5
2024-02-19,1304,3761,0.587,6.8
2024-02-20,1385,5756,0.299,6.5
2024-02-21,1470,4977,0.545,1.7
2024-02-22,1641,5614,0.558,4.9
2024-02-23,1519,5867,0.375,3.6
2024-02-24,1294,4863,0.267,7.6
2024-02-25,1168,4411,0.329,7.3
2024-02-26,1255,5305,0.337,2.2
2024-02-27,1338,3792,0.36,2.3
2024-02-28,1456,5937,0.254,1.8
2024-02-28,1562,5767,0.399,2.1
2024-02-28,1378,3879,0.287,5.5
2024-03-01,1589,5959,0.274,5.7
2024-03-02,1151,4491,0.567,2.3
2024-03-03,1325,5402,0.553,6.7
2024-03-04,1647,5562,0.327,6.0
2024-03-05,1517,6519,0.444,4.3
2024-03-06,1612,4980,0.529,2.7
2024-03-07,1530,6066,0.36,6.9
2024-03-08,1444,6251,0.472,1.9
2024-03-09,1337,4046,0.397,1.5
2024-03-10,1388,5241,0.402,2.7
2024-03-11,1611,6527,0.346,6.2
2024-03-12,1595,6087,0.466,4.0
